GEOID10,H72003_dp,H72004_dp,H72005_dp,H72006_dp,H72007_dp,H72008_dp,H72009_dp,H72003_sf,H72004_sf,H72005_sf,H72006_sf,H72007_sf,H72008_sf,H72009_sf
390490098002,1213,17,5,8,1,5,21,1215,8,4,13,1,0,22
390490098003,1703,12,3,8,1,3,27,1693,14,4,9,0,10,32
390490098004,1433,15,7,6,0,4,19,1432,19,3,4,0,8,11
390490099001,670,565,4,57,2,131,69,683,561,7,54,1,131,62
390490100001,439,5,1,3,0,1,12,451,8,2,4,0,1,11
390490100002,282,7,0,4,0,1,9,280,5,0,3,0,1,8
390490100003,660,103,0,41,0,7,23,664,101,0,33,0,3,22
390490100004,1702,283,4,49,0,20,76,1694,289,4,55,0,21,79
390490100005,1264,236,5,93,2,4,52,1256,234,3,93,0,8,55
390490101001,418,527,3,42,0,10,23,412,528,3,38,0,13,26
390490102001,4693,2216,15,124,0,162,314,4700,2216,19,119,1,157,331
390490102002,2153,1775,16,89,2,71,200,2190,1753,5,92,0,64,173
390490102003,1242,1134,3,26,0,98,84,1235,1160,5,22,0,108,106
390490102004,1191,238,4,32,0,10,27,1164,221,4,38,0,12,25
390490103001,2177,405,7,14,3,45,150,2180,406,6,17,4,45,143
390490104001,2432,38,1,640,1,22,59,2420,27,3,645,0,22,56
390490104002,1813,27,2,367,1,7,41,1824,26,1,382,0,12,46
390490104003,1669,36,2,294,3,11,35,1669,42,0,274,6,9,35
390490105001,1133,24,2,119,1,4,20,1143,24,0,120,0,11,22
390490105002,2209,19,1,232,1,19,58,2191,12,1,217,0,4,30
390490105003,1637,15,1,616,0,8,21,1680,20,0,618,0,18,38
390490105004,1517,50,0,210,0,14,25,1485,52,3,224,1,10,29
390490106011,996,20,0,105,0,4,16,1013,22,1,120,0,2,18
390490106012,2940,105,3,349,0,29,78,2920,106,2,333,0,30,77
390490106021,1381,51,5,50,0,15,40,1369,48,4,41,0,17,31
390490106022,2287,57,6,158,0,16,44,2293,59,1,159,0,17,45
390490106023,1816,49,1,212,0,17,34,1824,50,4,220,0,20,37
390490107001,1064,116,4,63,5,19,33,1062,119,4,61,1,19,33
390499800001,2,0,0,0,0,0,4,2,0,0,0,0,0,0
