GEOID10,H72003_dp,H72004_dp,H72005_dp,H72006_dp,H72007_dp,H72008_dp,H72009_dp,H72003_sf,H72004_sf,H72005_sf,H72006_sf,H72007_sf,H72008_sf,H72009_sf
39049008241,1948,373,17,22,3,322,92,1947,373,14,22,6,321,89
39049008242,4939,495,14,423,1,382,177,4941,489,11,419,5,376,184
39049008311,2955,1127,31,71,10,467,197,2957,1131,36,69,9,463,192
39049008312,2974,1070,17,157,63,334,191,2965,1069,15,159,61,333,203
39049008321,1844,239,3,103,1,47,65,1840,233,3,98,1,54,70
39049008322,3756,425,25,78,1,123,131,3758,427,17,82,0,120,132
39049008330,1621,73,3,8,2,4,34,1615,83,5,11,1,9,20
39049008340,4544,957,23,177,0,117,167,4534,967,27,179,0,111,170
39049008350,3425,2402,24,119,13,467,232,3438,2381,24,122,10,476,233
39049008360,5183,652,25,180,0,154,173,5179,653,26,174,1,147,186
39049008370,6572,340,22,152,0,136,159,6568,340,25,147,1,133,170
39049008380,4108,991,13,72,0,99,130,4108,990,14,73,0,101,131
39049008400,2811,43,5,40,0,10,55,2810,41,4,43,0,14,50
39049008500,4037,74,11,47,0,38,74,4040,70,7,48,2,39,74
39049008710,380,2150,12,66,2,14,68,375,2147,13,64,0,14,78
39049008720,1254,1560,18,225,2,250,154,1255,1557,12,226,1,252,156
39049008730,552,1060,7,4,2,54,82,543,1058,10,4,1,63,82
39049008811,1575,227,0,4,0,20,49,1582,228,1,1,3,22,36
39049008812,818,1998,18,17,1,44,138,835,1996,19,15,0,41,128
39049008813,305,1907,5,12,0,32,63,307,1907,4,15,0,31,62
39049008821,2545,37,5,18,1,35,56,2541,48,6,17,0,30,53
39049008822,2782,997,17,34,1,51,134,2781,997,14,35,2,48,139
39049008825,5501,520,13,74,0,50,142,5502,515,15,65,1,59,139
39049008900,4402,405,13,81,1,22,138,4402,407,12,82,1,18,141
39049009000,3011,116,4,52,0,11,60,3004,125,1,57,1,11,58
39049009100,4293,238,0,56,0,19,129,4299,239,2,56,0,17,124
39049009210,1861,2114,23,179,5,326,207,1867,2110,24,180,6,330,196
39049009220,1708,423,9,29,2,118,80,1708,420,8,29,1,117,89
39049009230,2621,1270,24,111,1,195,209,2622,1270,23,108,0,191,215
39049009240,1575,183,15,7,0,86,56,1575,192,10,8,0,82,52
39049009250,1375,338,17,24,1,73,61,1374,343,15,24,1,69,63
39049009311,1132,1486,4,34,1,104,117,1138,1493,3,33,0,100,112
39049009312,906,1771,14,41,0,135,130,907,1771,11,36,2,136,133
39049009321,890,1014,13,73,1,105,72,889,1010,8,74,1,107,75
39049009322,1253,1681,15,64,3,92,99,1254,1680,12,62,1,96,100
39049009323,726,2057,7,36,0,300,102,725,2059,9,35,1,296,107
39049009325,859,3147,9,51,24,349,158,853,3152,10,48,23,352,160
39049009326,532,1053,3,9,1,66,84,532,1053,6,10,1,65,80
39049009331,122,633,2,7,0,29,12,120,629,2,9,0,31,12
39049009332,543,2404,5,31,0,20,96,544,2404,6,26,0,22,98
39049009333,354,1497,4,96,0,21,88,351,1495,4,100,0,18,91
39049009334,395,2182,12,102,0,46,75,394,2184,10,102,0,46,74
39049009336,1158,1359,3,52,0,40,125,1155,1360,5,53,0,38,127
39049009337,583,2954,18,44,0,131,130,585,2940,17,56,0,129,130
39049009340,1469,980,15,28,0,142,180,1461,989,11,38,0,143,174
39049009350,1169,1180,10,37,1,203,103,1169,1180,11,35,1,197,107
39049009361,2453,2058,6,61,3,47,137,2447,2055,7,59,1,51,150
39049009362,4694,1416,9,97,9,57,153,4712,1424,7,96,8,53,136
39049009371,1930,3205,12,54,0,121,205,1926,3200,18,56,0,119,209
39049009372,1548,2462,10,83,0,75,124,1548,2465,12,84,2,71,124
39049009373,1697,3607,9,81,0,108,270,1696,3603,10,80,0,110,274
39049009374,3547,3771,25,136,6,215,355,3555,3758,21,131,8,219,364
39049009381,3288,1751,7,123,0,48,223,3294,1747,11,122,0,45,220
39049009382,2332,305,10,32,0,25,102,2339,302,9,31,1,26,95
39049009383,1621,480,1,18,8,55,94,1610,483,4,18,8,46,104
39049009384,1830,586,9,23,2,38,108,1828,582,10,22,1,44,108
39049009385,2631,602,8,76,0,16,109,2640,601,7,79,0,17,97
39049009386,1148,1350,8,13,0,121,125,1152,1349,8,14,1,113,127
39049009390,4106,906,17,133,6,60,182,4117,905,16,123,8,57,183
39049009410,1870,766,3,47,16,59,109,1871,767,5,44,5,68,114
39049009420,4117,1320,14,68,1,75,198,4126,1321,11,77,9,59,190
39049009430,4481,2325,20,139,8,117,238,4482,2326,18,129,9,121,243
39049009440,3691,440,11,89,2,46,108,3698,443,14,81,0,49,100
39049009450,7384,1041,6,128,0,61,243,7385,1050,7,119,1,59,243
39049009495,3444,1010,9,111,2,122,148,3435,1005,9,126,1,119,148
39049009497,1540,23,2,27,0,0,32,1546,23,2,26,0,4,24
39049009520,3745,361,17,54,1,25,105,3740,363,17,56,0,21,111
39049009590,4310,249,9,30,3,29,105,4310,251,12,34,1,30,94
39049009600,3230,608,17,42,85,58,128,3224,602,17,48,86,56,136
39049009711,4011,165,11,28,8,37,93,4008,169,8,28,8,33,98
39049009712,2409,36,4,6,0,27,40,2408,34,5,8,0,26,42
39049009720,6179,208,10,77,0,150,183,6179,203,6,80,3,157,182
39049009740,12783,289,24,220,1,40,229,12787,277,22,222,0,47,228
39049009751,4741,123,8,65,1,22,74,4733,128,9,67,3,21,71
39049009752,5402,304,22,118,0,67,212,5398,311,23,123,3,67,199
39049009800,6524,57,19,30,2,30,83,6514,63,16,30,1,34,87
39049009900,670,565,4,57,2,131,69,683,561,7,54,1,131,62
39049010000,4347,634,10,190,2,33,172,4345,637,9,188,0,34,175
39049010100,418,527,3,42,0,10,23,412,528,3,38,0,13,26
39049010200,9279,5363,38,271,2,341,625,9289,5350,33,271,1,341,635
39049010300,2177,405,7,14,3,45,150,2180,406,6,17,4,45,143
39049010400,5914,101,5,1301,5,40,135,5913,95,4,1301,6,43,137
39049010500,6496,108,4,1177,2,45,124,6499,108,4,1179,1,43,119
39049010601,3936,125,3,454,0,33,94,3933,128,3,453,0,32,95
39049010602,5484,157,12,420,0,48,118,5486,157,9,420,0,54,113
39049010700,1064,116,4,63,5,19,33,1062,119,4,61,1,19,33
39049980000,2,0,0,0,0,0,4,2,0,0,0,0,0,0
