GEOID10,H72003_dp,H72004_dp,H72005_dp,H72006_dp,H72007_dp,H72008_dp,H72009_dp,H72003_sf,H72004_sf,H72005_sf,H72006_sf,H72007_sf,H72008_sf,H72009_sf
390490001203001,8,2,0,2,0,0,0,12,0,0,2,0,0,0
390490001203002,78,4,0,0,0,0,0,76,1,0,0,0,2,1
390490001203003,34,0,1,0,0,0,2,33,0,0,0,0,0,1
390490001203004,60,3,0,1,0,0,0,59,1,1,2,0,0,0
390490001203005,33,0,0,0,0,0,2,32,0,0,0,0,0,0
390490001203006,57,0,0,3,0,0,2,57,1,0,1,0,0,0
390490001203007,149,1,0,0,0,0,1,146,4,0,5,0,0,3
390490001203008,38,0,0,1,0,0,2,50,0,0,1,0,0,0
390490001203009,18,0,0,1,0,0,0,22,0,0,0,0,0,0
390490001203010,39,0,0,1,0,0,0,33,0,0,0,0,0,1
390490001203011,40,1,0,0,0,0,0,24,0,0,0,0,0,0
390490001203012,34,1,0,0,0,0,1,45,0,0,0,0,0,0
390490002101001,92,2,0,0,0,0,0,92,2,0,1,0,0,5
390490002101004,158,0,0,4,0,1,0,142,1,0,7,0,2,6
390490002101005,50,0,0,0,0,1,0,51,0,0,0,0,0,0
390490002101006,54,4,0,2,0,0,5,46,2,0,4,0,0,0
390490002101008,5,0,0,0,0,0,0,0,1,0,0,0,0,6
390490002101010,83,3,0,0,0,1,4,86,0,2,0,0,0,2
390490002101011,23,0,0,0,0,1,3,27,0,0,0,0,0,2
390490002101012,1,0,0,5,0,0,1,3,0,0,0,0,0,0
390490002101013,21,1,0,0,0,0,0,24,3,0,0,0,0,2
390490002101014,49,0,0,0,0,0,0,51,0,0,0,0,0,0
390490002101015,67,2,0,0,0,0,0,70,0,1,3,0,0,1
390490002101016,59,0,0,0,0,1,2,63,1,0,0,0,0,0
390490002101017,82,1,0,0,0,1,4,86,0,0,2,0,0,1
390490002102000,216,0,0,0,0,0,1,210,2,0,0,0,3,1
390490002102001,99,0,3,0,0,0,5,104,0,0,0,0,0,0
390490002102002,90,5,0,4,0,0,7,96,1,0,1,0,2,0
390490002102003,76,0,0,1,0,0,0,77,3,0,0,0,0,0
390490002102004,31,0,0,0,0,0,1,35,0,0,0,0,0,0
390490002102005,95,8,0,0,0,1,0,96,7,0,0,0,0,2
390490002103000,94,3,0,3,0,0,2,94,2,0,0,0,0,1
390490002103001,38,0,0,2,0,1,4,36,0,0,0,0,0,1
390490002103002,71,0,0,0,0,0,3,71,0,0,0,0,0,0
390490002103003,87,0,0,0,0,0,1,90,2,0,2,0,0,6
390490002103004,45,0,0,0,0,0,0,42,0,0,0,0,0,0
390490002103005,51,0,0,0,0,0,1,56,0,1,0,0,0,0
390490002103006,38,0,0,0,0,1,2,43,0,0,0,0,0,2
390490002103007,71,0,0,2,0,1,5,71,0,0,0,0,0,0
390490002103008,79,0,0,0,0,0,1,78,4,0,1,0,0,8
390490002104000,193,10,1,6,0,0,0,193,15,1,7,0,1,9
390490002104001,105,1,0,0,0,0,1,108,1,0,1,0,0,0
390490002104002,109,0,0,2,0,0,0,113,2,0,0,0,0,0
390490002104003,106,4,0,0,0,0,1,107,0,0,0,0,0,0
390490002104004,80,1,0,0,0,0,6,76,1,0,1,0,1,8
390490002104005,90,0,0,0,0,0,1,79,0,0,2,0,1,0
390490002104006,66,2,0,1,0,0,2,69,1,0,0,0,0,0
390490002104007,95,1,0,2,0,0,1,88,1,0,0,0,0,0
390490002201003,91,0,0,1,0,0,6,89,0,0,3,0,2,6
390490002201004,73,0,0,0,0,0,0,77,1,0,1,0,2,6
390490002201005,92,0,0,5,0,0,4,92,0,0,3,0,1,0
390490002201006,78,0,0,0,0,1,9,75,0,1,0,0,0,0
390490002201007,98,0,0,1,0,3,1,98,0,0,3,0,0,1
