White,Black,AIAN,Asian,NHPI,Other race alone,Two or more races,total_pop,total_true
141,4,0,0,0,3,3,151,0
51,0,0,2,0,0,0,53,0
27,0,0,0,0,0,0,27,0
24,0,0,0,0,0,0,24,0
24,1,0,0,0,0,0,25,1
24,0,0,0,0,0,0,24,0
81,2,0,1,0,0,5,89,1
190,0,0,2,0,0,4,196,0
65,3,0,1,0,0,0,69,0
56,0,0,1,0,0,0,57,0
69,0,0,1,0,0,4,74,1
76,3,0,1,0,1,0,81,0
63,2,1,1,0,0,1,68,0
69,0,0,0,0,1,2,72,0
37,0,0,0,0,0,0,37,0
79,0,0,0,0,0,4,83,0
44,2,0,2,0,0,1,49,0
59,1,1,0,0,1,0,62,0
142,15,1,1,0,0,5,164,2
83,2,0,0,0,0,3,88,0
87,3,0,8,0,1,0,99,0
85,0,0,1,0,0,1,87,0
36,0,0,1,0,0,0,37,0
17,1,0,0,0,1,0,19,0
121,0,0,1,0,0,1,123,0
47,1,0,3,0,0,0,51,0
23,5,0,0,0,0,0,28,0
162,0,2,0,0,0,0,164,0
16,0,0,0,0,1,1,18,1
60,0,0,4,0,0,0,64,0
88,3,0,0,0,0,8,99,0
214,3,1,5,0,0,7,230,0
94,2,0,1,0,0,1,98,1
96,0,0,6,0,0,8,110,0
5,0,0,0,0,0,0,5,0
43,3,0,1,0,0,6,53,0
54,2,0,0,0,1,1,58,1
57,1,0,4,0,0,4,66,0
46,2,0,0,0,0,3,51,0
52,1,0,0,0,0,1,54,0
58,6,1,1,0,0,1,67,0
62,0,0,1,0,2,2,67,0
45,1,0,1,0,0,1,48,0
49,0,0,3,0,0,3,55,0
53,0,0,3,0,0,3,59,0
68,0,0,0,0,0,0,68,0
48,0,0,0,0,0,1,49,1
60,1,0,0,0,0,0,61,0
49,2,0,0,0,0,0,51,0
52,1,0,0,0,0,0,53,0
46,2,0,2,0,0,1,51,0
203,6,3,4,0,0,4,220,0
30,11,0,0,0,0,0,41,0
18,0,0,0,0,0,0,18,0
53,1,1,1,0,0,0,56,1
78,3,1,2,0,0,4,88,0
81,2,0,5,0,0,5,93,0
92,2,0,11,0,0,5,110,0
224,3,1,3,0,0,6,237,0
59,2,0,0,0,0,1,62,0
56,3,0,1,0,0,0,60,0
47,2,0,1,0,0,0,50,1
56,1,0,3,0,0,0,60,0
55,1,0,2,0,0,1,59,0
57,0,0,1,0,0,1,59,1
143,4,0,44,0,8,8,207,0
41,3,0,1,0,1,4,50,0
60,0,0,0,0,0,0,60,0
74,0,0,0,0,0,0,74,0
44,3,0,0,0,0,1,48,0
49,0,1,1,0,0,2,53,0
52,2,0,0,0,3,0,57,0
80,0,0,0,0,0,1,81,0
65,3,0,0,0,0,1,69,0
53,1,0,1,0,2,3,60,0
40,0,0,0,0,0,0,40,0
129,6,0,5,0,0,3,143,0
593,24,0,155,0,14,22,808,0
5,0,0,0,0,0,0,5,0
55,1,0,14,0,2,0,72,0
30,1,0,2,0,0,0,33,0
40,2,0,21,0,0,5,68,0
71,2,0,0,0,2,3,78,0
55,4,0,2,0,0,0,61,0
104,2,0,3,0,0,6,115,0
89,0,0,3,0,2,1,95,1
118,4,1,3,0,0,4,130,0
3,0,0,0,0,0,0,3,0
97,4,0,1,0,0,2,104,0
38,0,0,0,0,0,0,38,0
86,5,0,4,1,2,7,105,0
62,16,0,1,0,2,5,86,0
77,11,1,0,0,2,5,96,0
51,10,0,0,0,1,0,62,1
43,0,0,1,0,0,1,45,1
22,0,0,0,0,0,2,24,0
14,0,0,0,0,0,0,14,0
26,2,0,0,0,1,1,30,0
28,1,0,0,0,0,0,29,1
25,0,0,0,0,0,0,25,0
28,0,0,0,0,0,2,30,0
16,0,0,2,0,0,7,25,0
40,0,0,0,0,0,1,41,1
50,2,0,1,0,1,8,62,0
54,7,0,1,0,0,4,66,0
39,7,0,0,0,0,1,47,0
47,5,0,0,0,5,1,58,0
86,0,0,3,0,0,6,95,0
46,0,0,0,0,0,1,47,0
103,2,0,1,0,5,5,116,0
33,6,0,0,0,1,0,40,0
105,0,0,2,0,0,7,114,0
36,0,0,0,0,0,0,36,0
10,0,0,1,0,1,1,13,0
71,3,6,2,0,0,1,83,0
48,1,0,8,0,0,4,61,0
64,0,5,1,0,0,1,71,1
60,0,1,0,0,0,2,63,0
24,0,0,1,0,2,0,27,0
61,3,0,1,0,1,0,66,2
30,1,0,5,0,0,0,36,0
50,4,0,0,0,1,6,61,0
51,5,0,0,0,0,1,57,0
55,2,0,0,0,0,3,60,0
52,1,0,1,0,0,1,55,0
19,0,0,0,0,0,0,19,0
18,1,0,5,0,0,0,24,1
21,0,0,4,0,0,0,25,0
30,1,0,0,0,0,0,31,0
37,2,0,1,0,0,0,40,0
10,3,1,0,0,0,0,14,0
6,0,0,0,0,0,0,6,0
39,3,0,0,0,0,0,42,0
141,2,1,74,0,2,3,223,0
70,10,3,7,0,3,4,97,0
28,0,0,0,0,0,0,28,0
28,0,0,0,0,1,3,32,0
69,4,0,6,0,0,3,82,0
55,2,0,1,0,0,5,63,0
68,6,0,2,0,0,8,84,0
42,5,0,0,0,0,2,49,0
22,1,0,2,0,0,1,26,0
48,3,0,0,0,0,5,56,0
58,2,0,0,0,4,0,64,0
26,1,0,0,0,0,2,29,0
7,3,0,0,0,1,2,13,1
65,4,0,0,0,1,2,72,0
7,0,0,0,0,0,1,8,1
10,0,1,0,0,0,1,12,0
56,8,0,0,0,0,0,64,0
7,0,0,0,0,0,0,7,0
28,20,0,0,0,0,4,52,0
27,14,0,5,1,0,4,51,0
40,20,0,1,0,0,10,71,0
47,20,1,0,0,0,14,82,0
43,9,0,0,0,0,9,61,0
31,29,0,2,0,0,5,67,0
45,25,0,0,0,0,4,74,0
52,13,0,0,0,3,4,72,0
30,47,0,0,0,5,0,82,0
6,16,0,0,0,0,0,22,0
4,26,0,0,0,0,2,32,0
34,66,1,0,0,0,8,109,1
13,42,2,0,0,0,4,61,0
59,39,0,2,0,3,1,104,0
53,21,0,1,0,0,2,77,0
74,11,0,0,0,0,4,89,0
54,14,0,0,0,0,6,74,0
43,8,0,0,0,1,0,52,0
78,20,1,0,0,0,2,101,0
92,26,0,0,0,0,2,120,0
57,18,1,0,0,0,2,78,0
43,28,0,4,0,4,5,84,0
50,37,0,1,0,1,0,89,0
74,27,0,0,0,1,3,105,0
106,27,0,0,1,2,13,149,0
105,33,0,0,0,2,6,146,0
97,29,0,0,0,9,14,149,0
63,36,0,0,0,2,7,108,0
25,16,0,0,0,0,3,44,0
88,34,0,2,0,11,3,138,0
32,3,0,0,0,5,1,41,1
51,3,0,0,0,0,0,54,0
73,46,1,1,0,6,3,130,0
35,9,0,0,0,0,0,44,0
32,15,0,0,0,1,2,50,0
40,4,1,0,0,0,0,45,0
53,12,0,0,0,0,3,68,0
40,8,0,0,0,0,0,48,0
40,2,0,0,0,0,0,42,0
30,7,0,0,0,0,0,37,0
1,53,0,0,0,0,0,54,0
7,43,0,0,0,0,0,50,0
5,49,1,1,0,1,1,58,0
2,15,0,0,0,0,0,17,0
10,42,0,0,0,1,0,53,0
2,54,0,0,0,0,0,56,0
8,51,0,0,0,0,0,59,0
7,64,0,0,0,5,0,76,0
0,23,0,0,0,0,0,23,0
5,14,0,0,0,0,2,21,0
7,18,0,0,0,0,3,28,0
0,18,0,0,0,0,0,18,0
5,47,0,0,0,0,5,57,0
0,30,0,0,0,0,1,31,0
13,135,0,0,0,0,11,159,0
29,179,2,1,0,0,4,215,0
0,26,0,0,0,0,0,26,0
0,19,0,0,0,0,0,19,0
0,24,0,0,0,0,0,24,0
10,55,0,0,0,0,0,65,0
10,22,0,0,0,0,5,37,0
6,43,0,0,0,0,0,49,0
0,35,0,0,0,0,1,36,1
16,61,0,0,0,0,1,78,0
3,75,0,0,0,0,4,82,0
0,43,0,0,0,0,0,43,0
2,25,0,0,0,0,0,27,0
16,36,0,0,0,0,13,65,0
22,42,0,0,0,0,0,64,0
26,16,0,0,0,0,6,48,0
18,28,0,1,0,0,6,53,0
26,27,1,0,0,0,4,58,0
35,37,1,0,0,0,1,74,2
39,13,0,0,0,5,0,57,0
26,20,0,0,0,6,3,55,0
22,7,2,0,0,1,1,33,0
55,11,0,0,0,1,1,68,0
29,38,0,3,0,0,0,70,0
19,52,1,0,0,1,0,73,0
25,35,0,1,0,0,5,66,0
28,30,0,1,0,0,5,64,1
60,14,1,0,0,0,0,75,0
8,86,1,0,0,0,1,96,0
0,48,0,0,0,2,0,50,0
0,39,0,1,0,0,1,41,1
1,80,0,0,0,1,0,82,0
0,76,0,0,0,0,5,81,0
3,34,0,0,0,0,0,37,0
0,22,0,0,0,0,0,22,0
0,27,0,0,0,0,0,27,0
1,21,0,0,0,0,2,24,0
0,14,0,2,0,1,6,23,0
2,54,0,0,0,0,0,56,0
19,102,1,0,0,2,8,132,0
1,94,0,5,0,0,0,100,0
0,4,0,0,0,0,0,4,0
5,53,1,0,0,0,0,59,0
0,59,0,0,0,0,0,59,0
7,47,0,0,0,0,0,54,0
0,55,0,0,0,1,0,56,0
0,44,0,0,0,0,1,45,0
18,48,0,0,0,0,0,66,0
2,83,4,0,0,0,0,89,0
0,38,0,0,0,0,0,38,0
6,31,0,0,0,0,0,37,0
1,104,0,0,0,0,2,107,0
0,14,0,0,0,0,0,14,0
4,55,0,1,0,0,3,63,0
3,49,0,0,0,0,1,53,0
4,51,0,0,0,0,0,55,0
4,35,0,0,0,0,0,39,0
1,36,0,0,0,0,1,38,1
3,57,1,0,0,0,4,65,0
6,40,0,0,0,0,3,49,0
3,75,0,0,0,0,0,78,0
12,79,0,0,0,2,1,94,0
3,89,1,0,0,2,3,98,0
3,43,0,0,0,0,2,48,0
3,47,0,0,0,8,2,60,0
1,46,0,0,0,2,1,50,0
8,24,0,0,0,6,1,39,0
8,87,1,0,0,0,2,98,0
5,96,0,0,0,0,7,108,0
7,102,2,0,0,0,2,113,0
2,17,0,0,0,0,0,19,0
0,33,0,0,0,0,0,33,0
0,55,0,0,0,1,0,56,0
3,54,0,0,0,0,1,58,0
1,44,0,0,0,0,0,45,0
0,49,0,1,0,0,0,50,0
0,46,0,0,0,0,2,48,0
15,43,0,0,0,0,4,62,0
4,69,0,0,0,0,4,77,0
0,45,0,0,0,0,0,45,0
2,45,0,0,0,0,3,50,0
32,11,0,0,0,0,0,43,0
31,35,0,9,0,0,3,78,0
27,49,0,0,0,0,2,78,0
28,13,0,0,0,0,2,43,0
37,9,0,0,0,0,0,46,0
69,22,0,0,0,0,1,92,1
38,16,0,0,0,0,0,54,0
43,27,0,0,0,0,0,70,0
86,18,0,0,0,0,9,113,0
51,20,0,0,0,0,2,73,0
59,11,0,0,0,0,0,70,0
68,30,0,0,0,0,2,100,0
35,13,0,0,0,0,3,51,0
28,11,0,1,0,0,0,40,0
24,3,0,2,0,0,0,29,0
26,6,0,0,0,0,0,32,0
37,21,0,2,0,3,0,63,0
29,27,0,0,0,0,0,56,0
84,25,0,2,0,1,4,116,0
43,30,0,0,0,0,0,73,0
49,9,0,0,0,0,0,58,0
47,19,0,0,0,5,0,71,0
18,3,0,1,0,0,3,25,0
53,7,0,0,0,0,0,60,0
23,18,0,0,0,0,1,42,1
31,23,1,0,0,0,3,58,0
42,9,1,0,0,0,8,60,0
61,41,0,0,0,1,2,105,0
37,17,0,1,0,0,1,56,2
53,11,0,0,0,0,0,64,0
50,23,0,1,0,1,10,85,1
60,14,0,5,0,7,0,86,0
43,38,0,0,0,0,10,91,0
20,11,0,0,0,0,0,31,0
3,7,0,3,0,0,0,13,0
29,27,0,2,0,0,0,58,0
19,20,0,0,0,0,0,39,0
17,10,0,0,0,0,5,32,0
29,12,0,0,0,0,6,47,0
32,13,0,5,0,0,0,50,0
34,46,0,2,0,2,5,89,0
109,218,1,0,0,5,14,347,0
28,43,0,0,0,0,1,72,0
21,28,0,0,0,5,0,54,0
4,10,0,0,0,0,1,15,0
7,10,0,0,0,0,4,21,0
6,8,0,0,0,0,0,14,0
21,73,0,0,0,0,0,94,0
23,26,0,0,0,0,2,51,0
10,15,0,0,0,1,0,26,0
1,4,0,0,0,0,0,5,0
17,2,0,0,0,1,0,20,0
4,1,0,0,0,0,1,6,1
8,10,0,0,0,0,0,18,0
7,10,0,1,0,1,0,19,0
4,7,0,0,0,0,0,11,0
11,8,0,0,0,0,0,19,0
0,8,0,0,0,0,1,9,0
1,14,0,0,0,0,0,15,0
19,4,0,0,0,0,0,23,0
0,16,0,0,0,0,0,16,0
2,9,0,0,0,0,0,11,0
16,20,0,0,0,0,0,36,0
6,5,0,0,0,0,0,11,0
0,14,0,0,0,0,0,14,0
0,5,0,0,0,0,2,7,0
12,7,0,0,0,0,0,19,0
15,21,0,0,0,0,7,43,0
29,48,0,0,0,1,4,82,0
18,27,0,0,0,0,0,45,0
35,60,1,0,1,0,7,104,0
6,38,0,0,0,0,0,44,0
7,73,0,0,0,0,0,80,0
9,28,0,0,0,1,4,42,0
2,0,0,0,0,0,0,2,0
3,0,0,0,0,0,0,3,0
0,1,0,0,0,0,0,1,0
0,8,0,0,0,0,0,8,0
17,25,0,0,0,3,2,47,0
27,16,1,0,0,4,0,48,0
17,11,0,6,0,0,1,35,0
16,12,0,0,0,0,0,28,0
11,14,0,0,0,0,2,27,0
8,24,0,0,0,0,0,32,0
12,25,0,0,0,0,2,39,0
19,14,0,0,0,0,0,33,0
31,3,0,0,0,2,0,36,0
10,11,0,0,0,0,2,23,0
16,2,0,0,0,0,4,22,0
8,22,0,0,0,5,3,38,0
0,0,0,0,0,0,1,1,0
10,0,0,1,0,0,1,12,0
7,41,0,0,0,2,0,50,0
10,14,1,0,0,0,1,26,0
1,26,0,0,0,0,0,27,0
20,16,0,6,0,0,0,42,0
32,3,0,0,0,0,0,35,0
15,4,0,1,0,0,2,22,0
24,0,0,0,0,0,4,28,0
26,5,0,0,0,0,0,31,0
33,0,0,0,0,0,0,33,0
23,2,3,0,0,0,2,30,0
10,3,0,1,0,0,0,14,0
4,1,0,0,0,0,2,7,1
4,3,0,0,0,0,0,7,0
6,6,0,0,0,0,0,12,0
6,1,0,0,0,0,0,7,0
15,9,0,0,0,0,0,24,0
9,3,0,1,0,0,0,13,0
20,3,0,0,1,0,1,25,1
11,1,0,0,0,0,0,12,0
3,5,0,0,0,0,0,8,0
8,0,0,0,0,1,1,10,0
6,3,0,0,0,0,0,9,0
12,5,0,0,0,0,1,18,0
12,11,0,0,0,0,0,23,0
0,7,0,0,0,0,0,7,0
0,0,0,0,0,0,2,2,0
6,0,0,3,0,0,0,9,0
26,1,2,0,0,0,0,29,0
22,5,0,0,0,0,0,27,0
0,0,0,0,0,0,1,1,1
22,16,0,0,0,0,0,38,0
11,7,0,0,0,0,2,20,0
16,3,0,0,0,6,0,25,0
7,0,0,0,0,0,0,7,0
7,3,0,0,0,0,0,10,0
10,6,0,0,0,7,0,23,0
23,13,0,6,0,0,2,44,0
12,4,0,0,0,0,0,16,0
14,0,0,0,0,0,4,18,0
30,5,0,1,0,0,0,36,1
2,7,0,0,0,0,0,9,0
22,2,0,0,0,2,2,28,0
23,14,0,0,0,1,1,39,0
5,4,0,0,0,1,0,10,0
7,4,0,0,0,0,2,13,0
22,22,0,0,0,0,0,44,0
3,0,0,0,0,0,0,3,0
10,8,0,6,0,0,0,24,0
19,1,0,0,0,0,6,26,0
21,2,0,0,0,0,0,23,0
15,2,0,0,0,0,0,17,0
29,2,0,0,0,1,3,35,0
62,41,0,4,0,2,6,115,0
0,2,0,0,0,0,0,2,0
17,1,0,0,0,0,0,18,0
14,0,0,0,0,0,0,14,0
11,1,0,0,0,0,1,13,1
10,1,1,1,0,0,1,14,0
18,0,0,0,0,0,3,21,0
43,52,0,0,0,0,0,95,0
64,73,1,0,0,0,11,149,0
12,42,0,0,0,1,0,55,0
19,94,0,0,0,0,6,119,0
0,33,0,0,0,0,0,33,0
12,58,0,0,0,0,0,70,0
10,31,0,1,0,6,0,48,0
1,47,0,0,0,4,0,52,0
2,38,0,0,0,0,1,41,0
27,30,1,0,0,0,0,58,0
21,26,0,0,1,0,0,48,0
29,28,0,0,0,0,1,58,0
19,31,0,0,0,2,7,59,0
23,20,0,0,0,0,6,49,0
12,18,0,0,0,3,0,33,0
40,5,0,0,0,0,0,45,0
25,60,0,0,0,0,10,95,0
27,21,0,2,0,1,8,59,0
