PUMAID,RAC1P,RAC3P,AGEP,HISP,RELSHIPP,SEX
3904101,2,2,38,1,21,1
3904101,2,2,15,1,25,2
3904101,2,2,13,1,25,1
3904108,1,1,23,1,20,1
3904109,1,1,78,1,20,2
3904102,1,1,70,1,20,1
3904102,8,15,70,2,21,2
3904110,1,1,56,1,20,1
3904110,1,1,57,1,21,2
3904110,1,1,20,1,25,2
3904101,2,2,50,1,20,1
3904101,1,1,41,2,21,2
3904101,2,2,67,1,20,1
3904101,2,2,60,1,21,2
3904102,8,15,30,11,20,1
3904102,8,15,31,2,21,2
3904102,1,1,4,24,25,1
3904105,1,1,35,1,20,1
3904101,1,1,38,1,20,2
3904101,1,1,36,1,21,1
3904107,2,2,50,1,20,2
3904107,2,2,17,1,25,2
3904107,2,2,0,1,30,2
3904105,1,1,52,1,37,2
3904105,1,1,19,1,38,1
3904104,2,2,54,1,20,2
3904102,1,1,51,1,20,2
3904102,1,1,48,1,21,1
3904107,2,2,66,1,20,2
3904107,2,2,59,1,21,1
3904111,1,1,73,1,20,1
3904111,1,1,70,1,21,2
3904108,2,2,56,1,20,2
3904111,1,1,44,1,20,2
3904111,1,1,51,1,21,1
3904111,1,1,20,1,25,1
3904105,1,1,19,1,38,2
3904106,1,1,57,1,20,1
3904106,1,1,28,1,25,2
3904107,2,2,33,1,20,1
3904107,1,1,28,1,21,2
3904107,9,29,10,2,25,1
3904107,9,16,6,1,25,2
3904107,9,16,2,1,25,1
3904101,2,2,42,1,20,1
3904101,2,2,35,1,21,2
3904101,2,2,5,1,25,1
3904101,2,2,4,1,25,1
3904101,2,2,0,1,25,2
3904101,2,2,69,1,29,1
3904105,1,1,81,1,20,2
3904103,8,15,63,1,20,1
3904103,8,15,64,1,21,2
3904101,1,1,27,1,20,2
3904101,1,1,27,1,21,1
3904101,1,1,1,1,25,2
3904104,1,1,51,1,20,1
3904104,1,1,50,1,21,2
3904108,2,2,47,1,20,2
3904108,2,2,15,1,25,2
3904110,1,1,63,1,38,1
3904104,1,1,27,1,20,1
3904104,1,1,24,1,22,2
3904105,1,1,23,1,20,2
3904107,1,1,41,1,20,2
3904107,1,1,45,1,21,1
3904107,1,1,10,1,25,1
3904107,1,1,10,1,25,2
3904107,1,1,18,1,28,1
3904109,1,1,26,1,20,2
3904109,1,1,26,1,21,1
3904109,1,1,2,1,25,1
3904107,1,1,33,1,20,1
3904105,1,1,22,1,38,2
3904111,1,1,40,24,20,1
3904108,1,1,39,1,20,1
3904111,1,1,40,5,20,1
3904111,1,1,16,5,25,2
3904111,1,1,14,5,25,1
3904111,1,1,13,5,25,2
3904111,1,1,48,5,22,2
3904102,2,2,42,1,20,2
3904106,2,2,61,1,20,2
3904106,2,2,20,1,30,2
3904111,1,1,47,1,20,1
3904111,1,1,27,1,21,2
3904111,1,1,17,1,25,2
3904111,1,1,15,1,25,2
3904111,1,1,4,1,25,2
3904111,1,1,2,1,25,2
3904110,1,1,59,1,20,2
3904109,1,1,78,1,20,1
3904109,1,1,66,1,21,2
3904103,1,1,46,1,20,1
3904103,1,1,43,1,21,2
3904103,1,1,14,1,25,1
3904103,1,1,11,1,25,2
3904103,1,1,9,1,25,1
3904106,1,1,66,1,20,1
3904104,1,1,79,1,20,2
3904104,1,1,81,1,21,1
3904104,1,1,44,1,20,2
3904104,1,1,26,1,22,1
3904108,2,2,64,1,20,1
3904101,1,1,73,1,20,1
3904101,1,1,74,1,21,2
3904109,2,2,48,1,20,2
3904109,1,1,33,1,34,1
3904111,1,1,38,2,20,1
3904111,2,2,36,1,21,2
3904111,1,1,5,2,25,2
3904108,1,1,60,1,20,2
3904110,1,1,39,1,20,2
3904110,1,1,14,1,25,2
3904110,1,1,6,1,25,2
3904110,1,1,5,1,25,1
3904107,1,1,17,1,38,2
3904107,2,2,49,1,20,1
3904107,2,2,26,1,25,2
3904107,2,2,11,1,27,1
3904107,2,2,48,1,22,2
3904102,1,1,42,1,20,1
3904110,1,1,52,1,20,2
3904110,1,1,57,1,21,1
3904110,1,1,32,1,20,1
3904110,1,1,30,1,21,2
3904105,1,1,69,1,20,1
3904105,1,1,26,1,20,2
3904107,2,2,33,1,20,2
3904107,2,2,35,1,34,1
3904107,1,1,31,1,20,2
3904107,1,1,9,1,25,1
3904107,2,2,26,1,20,2
3904107,2,2,6,1,25,1
3904107,2,2,2,1,25,2
3904107,2,2,23,1,22,1
3904102,1,1,23,1,20,2
3904102,1,1,23,1,21,1
3904102,1,1,1,1,25,1
3904107,9,30,65,1,20,1
3904108,2,2,57,1,20,2
3904107,2,2,42,1,20,2
3904104,9,38,24,2,20,2
3904107,1,1,34,1,20,1
3904107,1,1,32,1,21,2
3904107,1,1,5,1,25,1
3904107,1,1,3,1,25,1
3904105,6,9,20,1,20,1
3904105,6,9,28,1,34,1
3904110,1,1,28,1,20,1
3904102,9,22,42,1,20,2
3904107,1,1,36,1,20,1
3904107,1,1,69,1,24,1
3904104,1,1,61,1,20,1
3904104,8,15,59,1,21,2
3904104,8,15,35,1,26,1
3904106,1,1,24,1,20,1
3904106,1,1,22,1,21,2
3904106,1,1,1,1,25,2
3904106,2,2,61,1,20,1
3904106,2,2,60,1,21,2
3904107,9,60,75,1,20,2
3904107,9,60,53,1,25,1
3904103,1,1,45,1,20,2
3904103,1,1,53,1,36,1
3904102,1,1,65,1,20,1
3904102,1,1,68,1,21,2
3904110,1,1,48,1,38,1
3904103,6,4,34,1,20,1
3904103,6,4,32,1,21,2
3904107,2,2,75,1,20,2
3904107,2,2,53,1,25,2
3904103,1,1,74,1,20,2
3904103,1,1,51,1,36,1
3904106,2,2,63,1,20,1
3904106,2,2,62,1,21,2
3904103,1,1,74,1,20,1
3904103,1,1,75,1,21,2
3904105,1,1,47,1,20,1
3904105,1,1,52,1,21,2
3904105,1,1,16,1,25,2
3904105,1,1,13,1,25,2
3904101,2,2,53,1,20,2
3904101,2,2,14,1,25,2
3904104,1,1,69,1,20,1
3904104,1,1,62,1,21,2
3904104,1,1,20,1,25,2
3904103,1,1,67,1,20,2
3904103,1,1,64,1,21,1
3904101,1,1,32,1,20,1
3904108,9,30,51,1,20,2
3904108,2,2,25,1,20,2
3904108,9,30,40,1,21,1
3904108,2,2,1,1,25,1
3904104,6,5,54,1,20,2
3904105,9,78,19,23,38,2
3904104,1,1,88,1,20,1
3904104,1,1,62,1,25,2
3904108,1,1,50,1,20,1
3904108,1,1,55,1,36,1
3904108,2,2,53,1,36,2
3904109,1,1,77,1,20,2
3904109,1,1,85,1,21,1
3904106,1,1,84,1,20,2
3904106,1,1,39,1,20,1
3904104,1,1,48,1,20,2
3904105,1,1,63,1,20,2
3904109,2,2,34,1,20,1
3904109,2,2,19,1,25,1
3904109,2,2,9,1,25,2
3904107,2,2,54,1,20,2
3904107,2,2,52,1,22,1
3904107,1,1,41,1,20,2
3904107,1,1,50,1,21,1
3904107,1,1,5,1,25,2
3904107,9,17,17,1,27,1
3904101,1,1,53,1,20,1
3904101,6,10,43,1,21,2
3904101,6,10,15,1,26,2
3904102,1,1,82,1,20,2
3904106,2,2,58,1,20,2
3904104,1,1,49,1,20,1
3904104,1,1,17,1,25,1
3904104,1,1,15,1,25,1
3904108,1,1,68,1,20,2
3904108,1,1,72,1,21,1
3904108,1,1,44,1,25,2
3904108,1,1,26,1,30,2
3904108,1,1,1,1,33,1
3904104,1,1,51,1,20,1
3904104,1,1,23,1,25,1
3904103,1,1,67,1,20,1
3904103,1,1,67,1,21,2
3904106,1,1,64,1,20,2
3904102,1,1,90,1,20,1
3904102,1,1,89,1,21,2
3904104,6,5,27,1,20,2
3904104,6,5,26,1,33,2
3904111,1,1,27,1,20,2
3904111,1,1,33,1,21,1
3904104,1,1,80,1,20,2
3904104,1,1,59,1,25,2
3904110,1,1,37,1,20,2
3904105,1,1,18,1,38,2
3904101,6,4,25,1,20,2
3904105,1,1,19,1,38,2
3904107,2,2,60,1,20,2
3904105,1,1,41,1,38,2
3904109,1,1,81,1,20,1
3904109,1,1,79,1,21,2
3904111,1,1,48,1,20,2
3904111,1,1,16,1,25,2
3904105,1,1,95,1,37,2
3904106,1,1,34,1,20,1
3904111,1,1,56,1,20,1
3904102,1,1,75,1,20,1
3904102,1,1,70,1,21,2
3904102,2,2,50,1,20,2
3904102,2,2,10,1,30,1
3904105,1,1,62,1,20,1
3904105,1,1,57,1,21,2
3904106,9,17,66,1,20,1
3904106,1,1,30,1,20,2
3904108,1,1,85,1,20,1
3904111,1,1,53,1,20,1
3904111,1,1,56,1,21,2
3904103,1,1,58,1,20,1
3904103,1,1,39,1,24,1
3904104,1,1,74,1,20,2
3904107,2,2,24,1,20,2
3904107,2,2,2,1,25,2
3904107,2,2,4,1,26,1
3904103,1,1,65,1,20,1
3904103,1,1,68,1,21,2
3904109,1,1,83,1,20,1
3904109,1,1,81,1,21,2
3904110,1,1,59,1,20,1
3904110,1,1,57,1,21,2
3904110,1,1,29,1,25,1
3904110,1,1,7,1,30,2
3904110,1,1,3,1,30,2
3904110,1,1,28,1,32,2
3904105,1,1,27,1,20,1
3904108,2,2,47,1,20,2
3904110,1,1,24,1,20,2
3904108,1,1,39,1,20,2
3904107,1,1,48,1,20,2
3904107,1,1,49,1,21,1
3904107,1,1,15,1,25,1
3904107,1,1,13,1,25,2
3904103,1,1,63,1,20,1
3904103,1,1,63,1,21,2
3904102,1,1,25,1,20,1
3904105,1,1,65,1,20,2
3904105,1,1,64,1,36,2
3904101,1,1,45,1,20,1
3904101,1,1,45,1,21,2
3904101,1,1,16,1,25,1
3904101,1,1,12,1,25,2
3904103,1,1,38,1,20,2
3904103,1,1,44,1,21,1
3904103,1,1,20,1,25,2
3904103,1,1,17,1,25,1
3904105,1,1,24,1,20,1
3904108,1,1,67,1,20,2
3904102,1,1,70,1,20,2
3904102,1,1,43,1,25,1
3904102,1,1,53,1,20,1
3904102,1,1,44,1,21,2
3904102,1,1,17,1,25,2
3904102,1,1,14,1,25,2
3904110,1,1,65,1,20,1
3904110,1,1,63,1,21,2
3904108,1,1,62,1,20,1
3904108,1,1,60,1,21,2
3904107,2,2,45,1,20,1
3904107,2,2,41,1,21,2
3904107,2,2,23,1,25,2
3904107,2,2,17,1,25,2
3904107,2,2,2,1,30,2
3904103,1,1,45,1,20,2
3904103,1,1,45,1,21,1
3904103,1,1,15,1,25,2
3904103,1,1,12,1,25,1
3904104,1,1,61,1,20,1
3904106,1,1,70,1,20,1
3904111,1,1,52,1,20,1
3904107,1,1,29,1,20,1
