PUMAID,SEX,RAC1P,AGEP,DIS,MSP,MIG,MIL,SCHL,FOD1P,HICOV,PRIVCOV,PUBCOV,PINCP,POVPIP,COW,ESR,SOCP,JWMNP,JWRIP,JWTRNS
3904106,1,1,36,2,6.0,1.0,4.0,19.0,,1,1,2,23000.0,433.0,1.0,1.0,373011,25.0,1.0,1.0
3904110,1,1,75,2,2.0,3.0,4.0,19.0,,1,1,2,30000.0,318.0,,6.0,,,,
3904110,2,1,74,2,4.0,1.0,4.0,18.0,,1,1,1,15600.0,318.0,,6.0,,,,
3904109,2,1,43,2,1.0,1.0,4.0,20.0,,1,1,2,0.0,255.0,,6.0,,,,
3904109,1,1,43,2,1.0,1.0,2.0,18.0,,1,1,1,72100.0,255.0,5.0,1.0,431011,20.0,1.0,1.0
3904109,1,1,15,2,6.0,1.0,,13.0,,1,1,2,0.0,255.0,,,,,,
3904109,2,1,14,2,,3.0,,9.0,,1,2,1,,255.0,,,,,,
3904109,2,1,13,2,,1.0,,10.0,,1,1,2,,255.0,,,,,,
3904109,1,1,41,2,4.0,3.0,4.0,16.0,,1,2,1,2000.0,16.0,1.0,6.0,251000,,,
3904109,2,1,40,1,4.0,3.0,4.0,18.0,,1,2,1,730.0,5.0,1.0,6.0,472061,,,
3904107,1,2,45,2,1.0,1.0,4.0,21.0,6201.0,2,2,2,10400.0,36.0,1.0,1.0,352010,15.0,1.0,1.0
3904107,2,2,37,2,1.0,1.0,4.0,16.0,,1,2,1,0.0,36.0,,6.0,,,,
3904107,2,2,10,2,,1.0,,7.0,,1,2,1,,36.0,,,,,,
3904107,2,2,8,2,,1.0,,5.0,,1,2,1,,36.0,,,,,,
3904107,1,2,6,2,,1.0,,3.0,,1,2,1,,36.0,,,,,,
3904105,1,6,24,2,6.0,3.0,4.0,21.0,4002.0,1,1,2,200.0,1.0,1.0,6.0,3930XX,,,
3904105,2,1,24,2,6.0,3.0,4.0,21.0,6209.0,1,1,2,50000.0,406.0,1.0,1.0,439041,26.0,1.0,1.0
3904109,1,1,50,2,4.0,1.0,4.0,19.0,,1,1,2,64000.0,403.0,2.0,1.0,151299,30.0,1.0,1.0
3904109,1,1,18,2,6.0,1.0,4.0,18.0,,1,1,2,0.0,403.0,,6.0,,,,
3904106,1,1,54,2,1.0,1.0,4.0,14.0,,1,1,2,35000.0,438.0,1.0,1.0,499071,20.0,1.0,1.0
3904106,2,1,50,2,1.0,1.0,4.0,16.0,,1,1,2,12000.0,438.0,1.0,1.0,537065,25.0,1.0,1.0
3904106,1,1,23,2,6.0,1.0,4.0,16.0,,1,1,2,50000.0,438.0,2.0,1.0,514120,35.0,1.0,1.0
