BG,detail,va_race,race
390490063533,4,1,0
390490063711,3,2,1
390490063712,4,3,2
390490063713,5,4,1
390490063714,4,4,0
390490063721,3,1,1
390490063722,7,5,0
390490063723,2,1,0
390490063831,6,5,0
390490063832,5,3,0
390490063833,2,1,0
390490063834,5,3,1
390490063835,3,3,0
390490063841,2,1,0
390490063842,6,6,2
390490063843,3,3,0
390490063844,2,2,0
390490063845,6,4,0
390490063861,7,6,1
390490063862,1,0,0
390490063863,5,3,2
390490063871,2,1,0
390490063872,4,1,0
390490063873,3,1,1
390490063874,2,1,0
390490063911,3,2,0
390490063912,5,4,1
390490063921,5,4,1
390490063922,4,4,0
390490063923,4,3,3
390490063931,8,3,0
390490063932,5,1,0
390490063933,4,3,0
390490063941,5,4,0
390490063942,5,3,0
390490063951,3,2,0
390490063952,8,4,0
390490063961,1,1,0
390490063962,3,3,2
390490063963,2,2,1
390490063964,6,4,0
390490064101,2,2,1
390490064102,5,3,0
390490064103,4,3,0
390490064301,5,5,1
390490064302,7,5,1
390490064303,4,3,0
390490064304,8,7,1
390490064305,4,3,0
390490065001,5,2,1
390490065002,4,4,1
390490065003,3,3,3
390490065004,3,3,0
390490066001,2,2,1
390490066002,6,6,2
390490066003,4,4,0
390490067101,2,1,0
390490067102,6,4,0
390490067211,2,2,1
390490067212,5,4,1
390490067213,4,3,1
390490067214,3,3,0
390490067221,4,3,1
390490067222,4,4,1
390490067223,6,5,0
390490068101,7,5,0
390490068102,4,4,0
390490068211,4,1,0
390490068212,6,4,0
390490068221,3,3,0
390490068222,1,0,0
390490069101,2,0,0
390490069102,6,4,2
390490069211,2,2,0
390490069212,1,1,0
390490069213,1,1,1
390490069214,4,3,0
390490069231,1,1,0
390490069232,2,2,0
390490069233,2,2,0
390490069234,6,6,1
390490069241,4,2,1
390490069242,4,1,0
390490069311,2,0,0
390490069312,1,0,0
390490069313,3,2,0
390490069314,2,2,1
390490069315,1,0,0
390490069316,5,5,0
390490069321,4,2,0
390490069322,4,3,1
390490069323,3,3,0
390490069324,5,2,1
390490069325,4,4,1
390490069326,6,2,1
390490069331,4,3,1
390490069332,3,2,0
390490069333,4,2,0
390490069334,3,3,1
390490069421,3,2,0
390490069431,4,2,0
390490069432,4,3,0
390490069433,3,2,0
390490069434,6,5,1
390490069441,1,1,0
390490069442,3,2,1
390490069443,7,4,0
390490069444,4,2,0
390490069451,5,3,0
390490069452,1,1,0
390490069453,9,6,0
390490069501,4,4,1
390490069502,5,3,1
390490069901,7,4,0
390490069902,2,2,0
390490069903,4,3,0
390490069904,6,4,0
390490069905,6,6,1
390490070101,1,1,0
390490070102,3,2,1
390490070103,4,0,0
390490070201,3,1,0
390490070202,3,2,0
390490070203,4,3,1
390490070204,3,3,0
390490070411,8,5,1
390490070431,4,4,1
390490070432,4,2,0
390490070441,7,5,0
390490070442,8,7,2
390490070443,4,3,0
390490070471,1,1,1
390490070472,9,4,0
390490070481,7,3,0
390490070482,9,6,1
390490071121,2,2,0
390490071122,3,2,0
390490071123,5,5,1
390490071131,5,2,0
390490071132,5,2,0
390490071133,4,4,0
390490071141,5,5,0
390490071142,2,1,0
390490071143,6,2,0
390490071151,2,2,0
390490071152,1,1,0
390490071153,7,3,1
390490071154,5,4,1
390490071155,3,1,0
390490071201,7,6,0
390490071202,1,0,0
390490071203,5,2,1
390490071321,6,2,0
390490071322,7,3,0
390490071323,6,5,1
390490071324,2,2,0
390490071931,5,3,2
390490071932,2,1,1
390490071933,5,2,1
390490071934,2,1,0
390490071935,3,3,0
390490071936,3,3,0
390490071941,3,2,0
390490071942,5,4,0
390490071943,4,3,2
390490071944,3,2,0
390490071981,3,3,0
390490071991,4,1,0
390490071992,7,4,1
390490071993,4,4,0
390490072011,1,1,0
390490072012,2,2,2
390490072021,7,5,1
390490072022,3,3,0
390490072031,4,4,1
390490072032,6,6,1
390490072051,6,3,0
390490072052,3,2,1
390490072053,8,5,2
390490072071,4,1,1
390490072072,2,1,0
390490072073,6,5,0
390490072091,7,4,0
390490072092,4,2,2
390490072101,4,4,1
390490072102,8,6,0
390490072103,6,4,1
390490072104,2,1,0
390490073931,5,3,0
390490073932,4,2,0
390490073933,6,2,0
390490073934,5,3,0
390490073941,2,1,0
390490073942,2,2,2
390490073943,4,1,0
390490073951,9,5,0
390490073952,3,2,0
390490073953,9,6,2
390490073954,4,4,0
390490073955,2,1,0
390490073956,1,1,0
390490073961,2,1,1
390490073962,8,4,0
390490073963,3,3,0
390490074241,5,3,0
390490074242,1,1,0
390490074243,5,5,1
390490074244,1,0,0
390490074245,2,1,0
390490074246,4,2,1
390490074251,2,2,1
390490074252,9,7,0
390490074253,6,4,0
390490074261,3,3,1
390490074262,1,1,1
390490074271,5,4,0
390490074272,6,6,0
390490074273,5,3,0
390490074921,4,3,1
390490074922,3,2,0
390490074923,5,3,0
390490074941,2,2,0
390490074942,2,0,0
390490075111,4,2,0
390490075112,5,3,1
390490075121,7,4,1
390490075122,2,1,0
390490075123,5,3,0
390490075201,3,3,1
390490075202,4,4,1
390490075203,2,1,0
390490075311,2,1,0
390490075312,3,2,0
390490075321,4,2,0
390490075331,3,2,0
390490075332,2,1,0
390490075341,4,2,0
390490075342,6,4,0
390490075501,8,6,1
390490075502,5,2,0
390490075511,11,10,0
390490075512,4,4,0
390490077101,4,3,0
390490077102,3,3,1
390490077103,3,3,1
390490077104,7,4,1
390490077211,7,6,0
390490077212,3,2,0
390490077213,2,1,0
390490077214,6,3,0
390490077215,0,0,0
390490077221,5,2,0
390490077222,5,2,0
390490077223,9,6,0
390490077301,8,3,1
390490077302,2,2,0
390490077401,7,3,0
390490078111,3,2,2
390490078112,3,3,1
390490078113,8,4,0
390490078114,5,3,0
390490078121,4,2,0
390490078122,2,2,0
390490078123,5,2,2
390490078124,4,4,1
390490078201,3,2,0
390490078202,4,0,0
390490078203,2,1,1
390490078204,3,0,0
390490078301,6,4,2
390490078302,2,2,0
390490078303,4,2,0
390490079211,5,3,0
390490079212,3,3,1
390490079213,3,3,0
390490079221,5,5,1
390490079222,4,3,0
390490079311,4,3,0
390490079312,4,3,0
390490079331,6,1,1
390490079332,4,2,0
390490079333,6,3,0
390490079334,6,4,0
390490079411,3,3,1
390490079511,5,3,0
390490079512,8,8,0
390490079513,1,1,0
390490079514,1,1,0
390490079521,5,4,0
390490079522,5,4,0
390490079523,6,3,0
390490079524,7,4,0
390490079525,4,1,0
390490079531,3,2,0
390490079532,4,3,1
390490079533,4,3,1
390490079534,3,2,0
390490079535,6,6,0
390490079541,5,3,1
390490079542,9,6,0
390490079543,8,4,1
390490079544,4,3,0
390490080001,3,1,0
390490080002,1,0,0
390490080003,5,4,1
390490081101,1,0,0
390490081102,2,1,1
390490081103,3,1,1
390490081104,3,3,0
390490081105,6,4,0
390490081201,5,1,0
390490081202,6,5,0
390490081203,3,3,1
390490081321,5,2,0
390490081322,2,2,1
390490081323,6,6,2
390490081324,4,3,0
390490081411,9,3,0
390490081412,4,2,0
390490081413,5,4,0
390490081421,7,5,0
390490081422,6,4,1
390490081423,6,2,0
390490081611,5,3,0
390490081612,4,4,1
390490081613,5,4,0
390490081621,3,1,0
390490081622,8,5,0
390490081623,3,0,0
390490081624,4,3,0
390490081625,5,4,1
390490081631,3,2,1
390490081632,5,3,0
390490081641,3,2,0
390490081642,6,5,1
390490082101,3,2,1
390490082102,5,1,0
390490082301,3,2,1
390490082302,1,0,0
390490082411,1,1,0
390490082412,2,2,0
390490082421,8,7,1
390490082422,6,6,0
390490082423,3,2,1
390490082424,2,1,0
390490083111,2,1,0
390490083112,4,4,0
390490083113,5,2,0
390490083121,5,4,0
390490083122,5,2,0
390490083123,5,4,1
390490083124,4,2,0
390490083125,5,3,0
