BLK,detail,va_race,race
390490003103014,0,0,0
390490003103015,1,1,1
390490003103016,0,0,0
390490003103017,0,0,0
390490003103018,0,0,0
390490003103019,0,0,0
390490003201000,1,1,1
390490003201001,0,0,0
390490003201002,1,1,1
390490003201003,0,0,0
390490003201004,2,2,0
390490003201005,0,0,0
390490003201006,1,1,0
390490003201007,0,0,0
390490003201008,0,0,0
390490003201009,2,2,1
390490003201010,0,0,0
390490003201011,3,3,1
390490003201012,1,1,1
390490003201013,0,0,0
390490003201014,1,1,1
390490003201015,1,1,1
390490003201016,1,1,0
390490003201017,0,0,0
390490003201018,1,1,1
390490003201019,0,0,0
390490003202000,0,0,0
390490003202001,2,1,1
390490003202002,0,0,0
390490003202003,0,0,0
390490003202004,1,1,1
390490003202005,1,1,0
390490003202006,4,3,2
390490003202007,1,1,1
390490003202008,1,0,0
390490003202009,1,1,0
390490003202010,1,1,1
390490003202011,0,0,0
390490003202012,2,2,1
390490003202013,0,0,0
390490003202014,3,3,2
390490003202015,1,0,0
390490003202016,1,1,1
390490003202017,0,0,0
390490003202018,1,1,0
390490003301000,0,0,0
390490003301001,4,3,0
390490003301002,1,0,0
390490003301003,2,2,2
390490003301004,1,1,1
390490003301005,1,0,0
390490003301006,1,0,0
390490003301007,1,1,1
390490003301008,1,1,0
390490003302000,1,0,0
390490003302001,2,1,0
390490003302002,3,3,2
390490003302003,0,0,0
390490003302004,2,2,2
390490003302005,2,2,0
390490003302006,3,0,0
390490003302007,0,0,0
390490003302008,0,0,0
390490003302009,0,0,0
390490003302010,0,0,0
390490003302011,0,0,0
390490003303000,0,0,0
390490003303001,1,1,1
390490003303002,3,3,3
390490003303003,1,1,1
390490003303004,3,1,0
390490003303005,0,0,0
390490003303006,1,0,0
390490003303007,0,0,0
390490003303008,2,0,0
390490004101000,5,5,2
390490004101001,1,0,0
390490004101002,0,0,0
390490004101003,1,1,1
390490004101004,1,1,1
390490004101005,1,0,0
390490004101006,3,2,0
390490004101007,1,0,0
390490004101008,0,0,0
390490004101009,0,0,0
390490004101010,4,3,0
390490004101011,2,2,2
390490004102000,3,3,2
390490004102001,4,3,3
390490004102002,3,2,2
390490004102003,2,2,2
390490004102004,3,3,2
390490004102005,2,2,1
390490004102006,6,6,4
390490004102007,3,3,0
390490004102008,2,2,2
390490004201000,4,3,0
390490004201001,3,3,1
390490004201002,1,1,0
390490004201003,0,0,0
390490004201004,1,0,0
390490004201005,0,0,0
390490004202000,1,1,1
390490004202001,0,0,0
390490004202002,1,1,1
390490004202003,0,0,0
390490004202004,0,0,0
390490004202005,0,0,0
390490004202006,1,1,1
390490004202007,1,1,1
390490004202008,1,1,1
390490004202009,2,2,2
390490004202010,2,2,2
390490004202011,1,1,1
390490004202012,0,0,0
390490004202013,1,1,1
390490004202014,0,0,0
390490004202015,4,4,0
390490004202016,3,3,3
390490004203000,4,3,3
390490004203001,0,0,0
390490004203002,1,1,1
390490004203003,1,1,1
390490004203004,1,1,1
390490004203005,3,3,2
390490004203006,1,1,1
390490004203007,2,1,1
390490004203008,0,0,0
390490004204000,0,0,0
390490004204001,1,1,1
390490004204002,1,1,0
390490004204003,1,1,1
390490004204004,3,3,2
390490004204005,3,3,1
390490004204006,1,1,1
390490005001000,0,0,0
390490005001001,0,0,0
390490005001002,3,3,1
390490005001003,1,1,1
390490005001004,2,2,1
390490005001005,4,4,0
390490005001006,1,1,1
390490005001007,3,3,2
390490005001008,1,1,1
390490005001009,2,2,2
390490005001010,1,1,1
390490005001011,0,0,0
390490005001012,1,0,0
390490005001013,0,0,0
390490005001014,1,1,1
390490005001015,1,0,0
390490005001016,1,1,1
390490005001017,0,0,0
390490005002000,1,1,0
390490005002001,0,0,0
390490005002002,0,0,0
390490005002003,0,0,0
390490005002004,0,0,0
390490005002005,3,3,3
390490005002006,2,2,2
390490005002007,5,5,0
390490005002008,3,3,0
390490005002009,0,0,0
